time_s,x_mm,y_mm,roll_deg,pitch_deg,heading_deg,ground_x_mm,ground_y_mm
1621693264.0155628,9521,-35074,3.92,-1.35,124.32105280346487,9416.4066985357,-35102.61532832024
1621693264.197984,9450,-34970,3.93,-1.22,125.21759296819272,9347.611835873407,-35003.18174834214
1621693264.4237902,9365,-34853,3.85,-1.24,127.00001652778104,9265.047457810178,-34887.674617171375
1621693264.6384845,9291,-34759,3.85,-1.12,127.04922657360702,9192.966219735072,-34796.26989855681
1621693264.8448036,9211,-34649,3.77,-0.99,125.46090814674129,9115.643435850388,-34685.10017599266
1621693265.0378,9140,-34547,3.7,-0.9,124.33021719550332,9046.786109470046,-34582.127208391634
1621693265.2572992,9071,-34444,3.7,-0.7,125.51222431541115,8981.567889128552,-34485.30696489096
1621693265.4631655,8988,-34334,3.59,-0.55,125.86710588837681,8903.452819733271,-34377.360074615404
1621693265.6851535,8917,-34231,3.59,-0.49,125.61577285426172,8833.177415755743,-34275.26621600873
1621693265.8768835,8839,-34126,3.56,-0.46,125.53767779197437,8756.2111545656,-34170.335642801176
1621693266.1154845,8767,-34021,3.66,-0.38,125.28120779717439,8683.089566584244,-34068.183925652585
1621693266.296384,8689,-33914,3.78,-0.44,125.69005982501398,8601.966496925104,-33962.33421602979
1621693266.501437,8614,-33808,3.74,-0.53,125.35660821120945,8526.176536895362,-33853.29991076158
1621693266.738621,8540,-33704,3.73,-0.75,126.61675151907066,8449.971898459991,-33746.439445706565
1621693266.9416296,8452,-33590,3.66,-0.91,125.17472295785154,8360.017497436356,-33625.681197667276
1621693267.1762938,8392,-33494,3.55,-0.97,123.41227198390268,8300.49887499352,-33523.940988992865
1621693267.3843954,8326,-33399,3.63,-1.0,124.14581979608883,8232.719924048166,-33430.632698534864
1621693267.564268,8255,-33292,3.77,-0.89,125.53767779197437,8161.211066547406,-33330.35961387282
1621693267.7781956,8176,-33189,3.9,-1.0,126.53595433603734,8078.453909646692,-33228.693689508254
1621693268.00445,8112,-33099,3.88,-1.24,123.03378718511463,8009.231667502459,-33127.10507799785
1621693268.2188272,8044,-32986,3.82,-1.58,124.63754090156814,7938.301946884165,-33008.75003223568
1621693268.4177945,7969,-32892,3.75,-1.95,127.17092348994039,7860.0331326303385,-32910.56866217679
1621693268.627215,7906,-32804,3.77,-2.05,125.62453337907569,7794.628178805591,-32817.79519030955
1621693268.8552556,7835,-32705,3.8,-1.95,128.0223815091683,7725.292743139673,-32725.989967651316
1621693269.0375066,7759,-32616,3.81,-1.72,128.1698135334568,7652.85106631462,-32642.172929906552
1621693269.2567391,7677,-32504,3.88,-1.31,126.41908178855653,7574.985107787051,-32536.64856656691
1621693269.4572985,7593,-32391,3.98,-1.04,125.76359264597824,7492.621636786601,-32429.745795873867
1621693269.8621871,7453,-32193,4.07,-1.17,125.70669140060288,7348.692784967497,-32230.25182084072
1621693270.0862586,7386,-32103,4.06,-1.31,127.65282982088365,7280.990726189129,-32140.708534528014
1621693270.2752004,7301,-31996,4.06,-1.56,128.46336635120292,7192.473954209358,-32030.05985944358
